ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start
AEP,XEL,2023-10-05,2023-11-29,long_A_short_B,0.06093803693011157,0.05093803693011157,0.01,True,55,91,2022-08-01,2023-08-01
EXC,NI,2023-10-02,2023-11-17,short_A_long_B,0.06252318425594572,0.05252318425594572,0.01,True,46,91,2022-08-01,2023-08-01
EXC,NI,2023-12-14,2024-01-31,long_A_short_B,-0.054918640199099866,-0.06491864019909986,0.01,False,48,91,2022-08-01,2023-08-01
AEE,XEL,2023-10-04,2024-01-31,long_A_short_B,-0.10312094873686839,-0.11312094873686838,0.01,False,119,91,2022-08-01,2023-08-01
AEE,CNP,2023-08-14,2023-11-06,long_A_short_B,0.033478431722881785,0.023478431722881783,0.01,True,84,91,2022-08-01,2023-08-01
AEE,CNP,2023-11-16,2024-01-31,long_A_short_B,-0.09666698984648525,-0.10666698984648525,0.01,False,76,91,2022-08-01,2023-08-01
LNT,DTE,2023-09-05,2023-12-11,short_A_long_B,0.0464576019912506,0.036457601991250595,0.01,True,97,91,2022-08-01,2023-08-01
LNT,DTE,2023-12-20,2024-01-31,long_A_short_B,0.013752437807911022,0.003752437807911022,0.01,False,42,91,2022-08-01,2023-08-01
CMS,DUK,2023-08-09,2024-01-31,long_A_short_B,-0.054890930958637174,-0.06489093095863717,0.01,False,175,91,2022-08-01,2023-08-01
LNT,EVRG,2023-09-11,2024-01-31,short_A_long_B,-0.0009201842711425989,-0.0109201842711426,0.01,False,142,91,2022-08-01,2023-08-01
EVRG,WEC,2023-09-11,2024-01-31,long_A_short_B,0.010853632172440064,0.000853632172440064,0.01,False,142,91,2022-08-01,2023-08-01
CMS,EVRG,2023-09-11,2024-01-31,short_A_long_B,-0.05170466487628378,-0.06170466487628378,0.01,False,142,91,2022-08-01,2023-08-01
AEP,ETR,2023-10-05,2024-01-31,long_A_short_B,0.007896629037723812,-0.002103370962276188,0.01,False,118,91,2022-08-01,2023-08-01
APH,FTV,2023-10-25,2024-01-31,short_A_long_B,-0.06030750178337985,-0.07030750178337984,0.01,False,98,91,2022-08-01,2023-08-01
ICE,MRSH,2023-09-21,2023-12-14,long_A_short_B,0.11749786672746454,0.10749786672746454,0.01,True,84,91,2022-08-01,2023-08-01
ICE,MRSH,2023-12-15,2024-01-31,short_A_long_B,0.005257180870839262,-0.004742819129160738,0.01,False,47,91,2022-08-01,2023-08-01
MA,V,2023-09-25,2023-10-18,short_A_long_B,0.039252222009865445,0.029252222009865443,0.01,True,23,91,2022-08-01,2023-08-01
MA,V,2023-10-26,2024-01-31,long_A_short_B,0.0500660467918701,0.0400660467918701,0.01,False,97,91,2022-08-01,2023-08-01
AEP,SRE,2023-10-05,2024-01-31,long_A_short_B,0.018896947195854885,0.008896947195854885,0.01,False,118,91,2022-08-01,2023-08-01
DUK,WEC,2023-08-15,2024-01-31,short_A_long_B,-0.10391291173748252,-0.11391291173748251,0.01,False,169,91,2022-08-01,2023-08-01
NWSA,NWS,2023-09-20,2024-02-29,long_A_short_B,-0.005510736568890451,-0.015510736568890451,0.01,False,162,92,2022-09-01,2023-09-01
AEP,XEL,2023-09-20,2024-02-15,long_A_short_B,0.04215590755449172,0.03215590755449172,0.01,True,148,92,2022-09-01,2023-09-01
AEP,XEL,2024-02-27,2024-02-29,short_A_long_B,-0.10923835624114442,-0.11923835624114441,0.01,False,2,92,2022-09-01,2023-09-01
AEE,CNP,2023-11-30,2024-02-29,long_A_short_B,-0.05493601597581377,-0.06493601597581376,0.01,False,91,92,2022-09-01,2023-09-01
EXC,NI,2023-10-02,2023-11-17,short_A_long_B,0.06252318425594572,0.05252318425594572,0.01,True,46,92,2022-09-01,2023-09-01
EXC,NI,2023-12-14,2024-02-29,long_A_short_B,-0.0410383102627393,-0.0510383102627393,0.01,False,77,92,2022-09-01,2023-09-01
LNT,EVRG,2023-09-18,2024-02-29,short_A_long_B,-0.005732601469177645,-0.015732601469177647,0.01,False,164,92,2022-09-01,2023-09-01
LNT,DTE,2023-10-06,2023-11-14,short_A_long_B,0.044468710103045206,0.034468710103045204,0.01,True,39,92,2022-09-01,2023-09-01
LNT,DTE,2023-11-24,2024-02-29,long_A_short_B,-0.06843854804450311,-0.0784385480445031,0.01,False,97,92,2022-09-01,2023-09-01
CMS,DUK,2023-09-13,2023-11-08,long_A_short_B,0.04327204384848704,0.03327204384848704,0.01,True,56,92,2022-09-01,2023-09-01
CMS,DUK,2023-12-14,2024-02-29,long_A_short_B,0.03733302365091895,0.02733302365091895,0.01,False,77,92,2022-09-01,2023-09-01
WEC,XEL,2023-09-25,2024-02-29,long_A_short_B,0.052357664963528894,0.04235766496352889,0.01,True,157,92,2022-09-01,2023-09-01
AEP,WEC,2023-11-09,2024-02-29,short_A_long_B,-0.10926240491585548,-0.11926240491585548,0.01,False,112,92,2022-09-01,2023-09-01
