ticker_A,ticker_B,entry_date,exit_date,direction,return_before_cost,return_after_cost,transaction_cost,converged,days_open,window_id,formation_start,trading_start,beta
NWSA,NWS,2020-03-18,2020-03-30,long_B_short_A,0.08248403380013727,0.07248403380013728,0.01,True,12,50,2019-03-01,2020-03-02,1.0740774824953436
NWSA,NWS,2020-04-07,2020-05-15,short_B_long_A,0.02870227904576833,0.01870227904576833,0.01,True,38,50,2019-03-01,2020-03-02,1.0740774824953436
NWSA,NWS,2020-05-29,2020-08-31,long_B_short_A,-0.02244041480404807,-0.03244041480404807,0.01,False,94,50,2019-03-01,2020-03-02,1.0740774824953436
AON,AJG,2020-03-04,2020-03-19,short_B_long_A,0.4822776283597858,0.4722776283597858,0.01,True,15,50,2019-03-01,2020-03-02,0.4331653107003798
AON,AJG,2020-03-26,2020-04-08,short_B_long_A,0.012592942030132906,0.0025929420301329057,0.01,True,13,50,2019-03-01,2020-03-02,0.4331653107003798
AON,AJG,2020-04-14,2020-04-29,long_B_short_A,-0.02710091375147134,-0.03710091375147134,0.01,True,15,50,2019-03-01,2020-03-02,0.4331653107003798
AON,AJG,2020-05-01,2020-05-07,long_B_short_A,0.08544414968305533,0.07544414968305534,0.01,True,6,50,2019-03-01,2020-03-02,0.4331653107003798
AON,AJG,2020-05-14,2020-05-19,long_B_short_A,0.03953002653663487,0.02953002653663487,0.01,True,5,50,2019-03-01,2020-03-02,0.4331653107003798
AON,AJG,2020-05-22,2020-08-31,short_B_long_A,-0.32816941484092843,-0.33816941484092844,0.01,False,101,50,2019-03-01,2020-03-02,0.4331653107003798
MDLZ,WM,2020-03-16,2020-03-24,short_B_long_A,0.06794969450543753,0.05794969450543753,0.01,True,8,50,2019-03-01,2020-03-02,2.346709805269681
MDLZ,WM,2020-03-25,2020-06-05,long_B_short_A,-0.1028316984860872,-0.11283169848608719,0.01,True,72,50,2019-03-01,2020-03-02,2.346709805269681
MDLZ,WM,2020-06-16,2020-08-31,long_B_short_A,-0.1970448208394836,-0.2070448208394836,0.01,False,76,50,2019-03-01,2020-03-02,2.346709805269681
ETR,SO,2020-03-06,2020-03-10,short_B_long_A,0.03822611685186139,0.02822611685186139,0.01,True,4,50,2019-03-01,2020-03-02,0.9253821432586482
ETR,SO,2020-03-12,2020-03-16,long_B_short_A,0.04809211086549245,0.03809211086549245,0.01,True,4,50,2019-03-01,2020-03-02,0.9253821432586482
ETR,SO,2020-03-17,2020-03-23,short_B_long_A,0.039464903975724774,0.029464903975724772,0.01,True,6,50,2019-03-01,2020-03-02,0.9253821432586482
ETR,SO,2020-03-24,2020-07-30,short_B_long_A,0.0728385716166135,0.0628385716166135,0.01,True,128,50,2019-03-01,2020-03-02,0.9253821432586482
AWK,KO,2020-03-04,2020-08-31,long_B_short_A,-0.1502649857173773,-0.1602649857173773,0.01,False,180,50,2019-03-01,2020-03-02,0.3779364440792736
EVRG,XEL,2020-03-06,2020-08-31,short_B_long_A,-0.22751299644534015,-0.23751299644534016,0.01,False,178,50,2019-03-01,2020-03-02,0.9337450480998953
HBAN,RF,2020-03-05,2020-03-16,short_B_long_A,0.01718460304686603,0.007184603046866031,0.01,True,11,50,2019-03-01,2020-03-02,1.3206515983095515
HBAN,RF,2020-03-23,2020-08-31,short_B_long_A,-0.02658765302607191,-0.03658765302607191,0.01,False,161,50,2019-03-01,2020-03-02,1.3206515983095515
