Date,Daily_RF
2020-06-17,6.5422448567442615e-06
2020-06-18,5.551685726690181e-06
2020-06-19,5.670566039395197e-06
2020-06-22,5.551685726690181e-06
2020-06-23,5.551685726690181e-06
2020-06-24,5.3535445796448755e-06
2020-06-25,5.15539298739931e-06
2020-06-26,5.274285125311806e-06
2020-06-29,4.957232130120559e-06
2020-06-30,5.3535445796448755e-06
2020-07-01,5.15539298739931e-06
2020-07-02,5.274285125311806e-06
2020-07-06,5.076130181524974e-06
2020-07-07,5.551685726690181e-06
2020-07-08,5.3535445796448755e-06
2020-07-09,4.877965086302893e-06
2020-07-10,4.7590611207404265e-06
2020-07-13,4.957232130120559e-06
2020-07-14,5.274285125311806e-06
2020-07-15,4.957232130120559e-06
2020-07-16,4.085206420478826e-06
2020-07-17,4.164489238123181e-06
2020-07-20,4.164489238123181e-06
2020-07-21,4.362689823400601e-06
2020-07-22,3.9662790878303156e-06
2020-07-23,4.085206420478826e-06
2020-07-24,3.886992030022185e-06
2020-07-27,3.6887680732178296e-06
2020-07-28,4.085206420478826e-06
2020-07-29,3.569828905813921e-06
2020-07-30,3.3715888723140353e-06
2020-07-31,3.2922899788623283e-06
2020-08-03,3.09403642995143e-06
2020-08-04,3.569828905813921e-06
2020-08-05,3.768058780329042e-06
2020-08-06,3.490533957872799e-06
2020-08-07,3.490533957872799e-06
2020-08-10,3.490533957872799e-06
2020-08-11,3.9662790878303156e-06
2020-08-12,3.9662790878303156e-06
2020-08-13,3.569828905813921e-06
2020-08-14,3.490533957872799e-06
2020-08-17,3.3715888723140353e-06
2020-08-18,3.9662790878303156e-06
2020-08-19,3.768058780329042e-06
2020-08-20,3.490533957872799e-06
2020-08-21,3.490533957872799e-06
2020-08-24,3.3715888723140353e-06
2020-08-25,3.768058780329042e-06
2020-08-26,3.6887680732178296e-06
2020-08-27,3.768058780329042e-06
2020-08-28,3.768058780329042e-06
2020-08-31,3.768058780329042e-06
2020-09-01,3.9662790878303156e-06
2020-09-02,3.9662790878303156e-06
2020-09-03,3.9662790878303156e-06
2020-09-04,4.085206420478826e-06
2020-09-08,4.283410949712518e-06
2020-09-09,4.164489238123181e-06
2020-09-10,4.085206420478826e-06
2020-09-11,4.085206420478826e-06
2020-09-14,3.9662790878303156e-06
2020-09-15,3.9662790878303156e-06
2020-09-16,3.9662790878303156e-06
2020-09-17,3.3715888723140353e-06
2020-09-18,3.2922899788623283e-06
2020-09-21,3.173338974260531e-06
2020-09-22,3.490533957872799e-06
2020-09-23,3.490533957872799e-06
2020-09-24,3.6887680732178296e-06
2020-09-25,3.569828905813921e-06
2020-09-28,3.490533957872799e-06
2020-09-29,3.3715888723140353e-06
2020-09-30,3.3715888723140353e-06
2020-10-01,3.2922899788623283e-06
2020-10-02,3.3715888723140353e-06
2020-10-05,3.3715888723140353e-06
2020-10-06,3.490533957872799e-06
2020-10-07,3.490533957872799e-06
2020-10-08,3.490533957872799e-06
2020-10-09,3.6887680732178296e-06
2020-10-12,3.569828905813921e-06
2020-10-13,3.6887680732178296e-06
2020-10-14,3.9662790878303156e-06
2020-10-15,3.768058780329042e-06
2020-10-16,3.569828905813921e-06
2020-10-19,3.569828905813921e-06
2020-10-20,3.768058780329042e-06
2020-10-21,3.569828905813921e-06
2020-10-22,3.3715888723140353e-06
2020-10-23,3.2922899788623283e-06
2020-10-26,3.173338974260531e-06
2020-10-27,3.569828905813921e-06
2020-10-28,3.569828905813921e-06
2020-10-29,3.2922899788623283e-06
2020-10-30,3.2922899788623283e-06
2020-11-02,3.2922899788623283e-06
2020-11-03,3.569828905813921e-06
2020-11-04,3.2922899788623283e-06
2020-11-05,3.3715888723140353e-06
2020-11-06,3.2922899788623283e-06
2020-11-09,3.490533957872799e-06
2020-11-10,3.569828905813921e-06
2020-11-11,3.569828905813921e-06
2020-11-12,3.3715888723140353e-06
2020-11-13,3.2922899788623283e-06
2020-11-16,2.9750795063065993e-06
2020-11-17,3.173338974260531e-06
2020-11-18,2.9750795063065993e-06
2020-11-19,2.3802411603934814e-06
2020-11-20,2.3009226801651295e-06
2020-11-23,2.7768098762592786e-06
2020-11-24,3.173338974260531e-06
2020-11-25,3.173338974260531e-06
2020-11-27,2.8957727200573657e-06
2020-11-30,2.9750795063065993e-06
2020-12-01,3.173338974260531e-06
2020-12-02,2.9750795063065993e-06
2020-12-03,2.9750795063065993e-06
2020-12-04,2.9750795063065993e-06
2020-12-07,2.7768098762592786e-06
2020-12-08,2.697499438486517e-06
2020-12-09,2.7768098762592786e-06
