pair,entry_date,exit_date,return_before_cost,direction,converged,days_open,window_id,transaction_cost,return_after_cost
"('AMP', 'GS')",2016-06-28,2016-11-30,-0.19565178835370522,long_A_short_B,False,155,5,0.01,-0.20565178835370523
"('AEE', 'XEL')",2016-11-07,2016-11-30,-0.018744131309942125,short_A_long_B,False,23,5,0.01,-0.028744131309942127
"('CCI', 'PEP')",2016-06-24,2016-08-05,0.06778415904993051,short_A_long_B,True,42,5,0.01,0.05778415904993051
"('CCI', 'PEP')",2016-10-05,2016-10-21,0.06947674293665851,long_A_short_B,True,16,5,0.01,0.05947674293665851
"('CCI', 'PEP')",2016-11-01,2016-11-30,-0.01704435025116746,long_A_short_B,False,29,5,0.01,-0.027044350251167464
"('BRK-B', 'L')",2016-10-31,2016-11-10,0.07103881980798676,long_A_short_B,True,10,5,0.01,0.06103881980798676
"('PH', 'ROK')",2016-06-23,2016-07-29,0.05235883827867471,long_A_short_B,True,36,5,0.01,0.04235883827867471
"('PH', 'ROK')",2016-08-08,2016-11-30,0.0030290759181312854,short_A_long_B,False,114,5,0.01,-0.006970924081868715
"('AEP', 'DTE')",2016-09-26,2016-11-30,-0.06514211937542336,long_A_short_B,False,65,5,0.01,-0.07514211937542335
"('DTE', 'PCG')",2016-08-03,2016-10-04,0.03306038099763953,long_A_short_B,True,62,6,0.01,0.023060380997639525
"('DTE', 'PCG')",2016-12-01,2016-12-30,-0.005889972429997892,short_A_long_B,False,29,6,0.01,-0.015889972429997894
"('JPM', 'MTB')",2016-07-20,2016-12-30,0.030011069745548236,short_A_long_B,False,163,6,0.01,0.020011069745548234
"('PNC', 'WFC')",2016-08-05,2016-12-30,-0.21984288079903425,short_A_long_B,False,147,6,0.01,-0.22984288079903425
"('AZO', 'ORLY')",2016-07-29,2016-12-08,0.038140855275212604,long_A_short_B,True,132,6,0.01,0.028140855275212602
"('AEP', 'SO')",2016-09-12,2016-12-30,0.02435479738723223,long_A_short_B,False,109,6,0.01,0.01435479738723223
"('ADP', 'PEP')",2016-07-29,2016-11-10,0.07887860708198957,long_A_short_B,True,104,6,0.01,0.06887860708198958
"('ADP', 'PEP')",2016-11-17,2016-12-30,-0.058268925202129784,short_A_long_B,False,43,6,0.01,-0.06826892520212978
"('MMM', 'GPC')",2016-07-19,2016-12-30,-0.027080920280183496,short_A_long_B,False,164,6,0.01,-0.0370809202801835
"('AVB', 'EQR')",2016-08-01,2016-10-05,0.047174217071172087,short_A_long_B,True,65,6,0.01,0.037174217071172085
"('AIG', 'PNC')",2016-08-03,2016-09-07,0.05649468444964412,short_A_long_B,True,35,6,0.01,0.046494684449644115
"('AIG', 'PNC')",2016-11-03,2016-12-30,-0.10370156865302249,long_A_short_B,False,57,6,0.01,-0.11370156865302249
"('PPG', 'RTX')",2016-08-05,2016-12-30,-0.11518242481991148,long_A_short_B,False,147,6,0.01,-0.1251824248199115
"('JPM', 'PNC')",2016-10-27,2016-12-30,0.02081474892314561,long_A_short_B,False,64,6,0.01,0.01081474892314561
"('EQR', 'UDR')",2016-08-03,2016-09-30,0.05621549420772798,long_A_short_B,True,58,6,0.01,0.046215494207727977
"('AEE', 'CMS')",2016-12-06,2016-12-30,-0.020649667805214378,short_A_long_B,False,24,6,0.01,-0.03064966780521438
"('CAT', 'ROK')",2016-07-26,2016-12-30,-0.0028951947039381754,short_A_long_B,False,157,6,0.01,-0.012895194703938176
"('BRK-B', 'TSCO')",2016-08-04,2016-12-30,-0.25512463703966926,short_A_long_B,False,148,6,0.01,-0.26512463703966926
"('DTE', 'PCG')",2016-08-18,2016-09-30,0.0310156301758302,long_A_short_B,True,43,7,0.01,0.021015630175830198
"('DTE', 'PCG')",2016-11-15,2017-01-31,-0.009621725129968839,short_A_long_B,False,77,7,0.01,-0.01962172512996884
"('CMS', 'WEC')",2016-10-24,2017-01-31,-0.006956642779919475,short_A_long_B,False,99,7,0.01,-0.016956642779919477
"('AEE', 'XEL')",2016-11-09,2017-01-31,-0.030279450914838524,short_A_long_B,False,83,7,0.01,-0.040279450914838526
"('WEC', 'XEL')",2016-11-04,2017-01-31,-0.0006695871457458313,long_A_short_B,False,88,7,0.01,-0.010669587145745832
"('ES', 'SO')",2016-08-19,2016-12-07,0.04365264110434208,long_A_short_B,True,110,7,0.01,0.03365264110434208
"('MTB', 'TFC')",2016-11-08,2017-01-31,-0.11768637157461082,short_A_long_B,False,84,7,0.01,-0.12768637157461082
"('LIN', 'ORCL')",2016-08-16,2017-01-31,-0.010542711423391027,short_A_long_B,False,168,7,0.01,-0.02054271142339103
"('AEP', 'SO')",2016-09-27,2017-01-27,0.04220760561531345,long_A_short_B,True,122,7,0.01,0.032207605615313446
"('PH', 'ROK')",2016-08-08,2017-01-25,0.08139835433847353,short_A_long_B,True,170,7,0.01,0.07139835433847354
"('AON', 'BRO')",2016-11-11,2017-01-31,-0.05313860700442996,long_A_short_B,False,81,7,0.01,-0.06313860700442996
"('AVB', 'EQR')",2016-10-05,2017-01-31,0.04775124986948864,long_A_short_B,False,118,7,0.01,0.03775124986948864
"('JPM', 'USB')",2016-11-10,2017-01-31,0.0015921626450163817,short_A_long_B,False,82,7,0.01,-0.008407837354983618
"('PNC', 'WFC')",2016-09-02,2017-01-31,-0.22107671510607507,short_A_long_B,False,151,7,0.01,-0.23107671510607508
"('AIG', 'WFC')",2016-08-03,2016-12-07,0.08504825250328141,short_A_long_B,True,126,7,0.01,0.07504825250328141
"('AIG', 'WFC')",2016-12-13,2017-01-31,0.03969055297729773,short_A_long_B,False,49,7,0.01,0.02969055297729773
"('BK', 'NTRS')",2016-10-05,2016-10-20,0.047573526286499246,long_A_short_B,True,15,7,0.01,0.037573526286499244
"('BK', 'NTRS')",2016-10-24,2016-11-14,0.06711709795120191,short_A_long_B,True,21,7,0.01,0.05711709795120191
"('BK', 'NTRS')",2016-12-01,2017-01-31,-0.046925623966677654,long_A_short_B,False,61,7,0.01,-0.056925623966677656
"('ETR', 'NEE')",2016-10-07,2017-01-31,-0.032365024763293726,long_A_short_B,False,116,7,0.01,-0.04236502476329373
"('BDX', 'MTD')",2016-11-11,2017-01-31,0.03505687687224568,long_A_short_B,False,81,7,0.01,0.025056876872245677
"('BK', 'JPM')",2016-10-11,2016-10-20,0.05830471297300477,long_A_short_B,True,9,7,0.01,0.04830471297300477
"('BK', 'JPM')",2016-11-30,2017-01-31,-0.11419759811650565,long_A_short_B,False,62,7,0.01,-0.12419759811650564
"('AEP', 'ETR')",2016-10-25,2017-02-28,0.008683150446669785,short_A_long_B,False,126,8,0.01,-0.0013168495533302151
"('AEE', 'XEL')",2016-11-07,2017-02-28,-0.01487207017089709,short_A_long_B,False,113,8,0.01,-0.02487207017089709
"('CL', 'PEP')",2016-11-04,2017-02-28,0.004171742840539672,long_A_short_B,False,116,8,0.01,-0.0058282571594603285
"('JPM', 'TFC')",2016-11-10,2016-11-18,0.06028935022364146,short_A_long_B,True,8,8,0.01,0.050289350223641456
